,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
3,서영여자고등학교(일반고)전라북도 정읍시 수성동,0 명0 명0 명,0 명0 명0 명,0 명,
4,정읍여자고등학교(일반고)전라북도 정읍시 상동,0 명0 명0 명,0 명0 명0 명,0 명,
0,상산고등학교(자율형사립고)전라북도 전주시 완산구 효자동1가,47 명13 명34 명,2 명2 명0 명,49 명,
1,전주한일고등학교(일반고)전라북도 전주시완산구 서신동,3 명1 명2 명,0 명0 명0 명,3 명,
2,전주고등학교(일반고)전라북도 전주시 완산구 중노송동,2 명2 명0 명,0 명0 명0 명,2 명,
3,동암고등학교(일반고)전라북도 전주시 완산구 효자동2가,2 명2 명0 명,0 명0 명0 명,2 명,
4,전주여자고등학교(일반고)전라북도 전주시 덕진구 인후동2가,2 명2 명0 명,0 명0 명0 명,2 명,
5,전주신흥고등학교(일반고)전라북도 전주시 완산구 중화산동1가,1 명1 명0 명,1 명1 명0 명,2 명,
6,우석고등학교(일반고)전라북도 전주시 덕진구 동산동,1 명1 명0 명,0 명0 명0 명,1 명,
7,전북대학교사범대학부설고등학교(일반고)전라북도 전주시 덕진구 덕진동1가,1 명0 명1 명,0 명0 명0 명,1 명,
8,전일고등학교(일반고)전라북도 전주시 완산구 효자동2가,1 명1 명0 명,0 명0 명0 명,1 명,
9,호남제일고등학교(일반고)전라북도 전주시 완산구 효자동3가,1 명1 명0 명,0 명0 명0 명,1 명,
10,전주기전여자고등학교(일반고)전라북도 전주시 완산구 효자동3가,1 명1 명0 명,0 명0 명0 명,1 명,
11,완산고등학교(일반고)전라북도 전주시 완산구 삼천동3가,1 명1 명0 명,0 명0 명0 명,1 명,
12,전라고등학교(일반고)전라북도 전주시 덕진구 송천동1가,1 명0 명1 명,0 명0 명0 명,1 명,
13,전주성심여자고등학교(일반고)전라북도 전주시완산구 교동,1 명1 명0 명,0 명0 명0 명,1 명,
14,전주중앙여자고등학교(일반고)전라북도 전주시 덕진구 우아동1가,1 명1 명0 명,0 명0 명0 명,1 명,
15,한국전통문화고등학교(일반고)전라북도 전주시 완산구 중인동,1 명1 명0 명,0 명0 명0 명,1 명,
