법정동명,학원명,계열명,정원합계,주소,학원ID
전라북도 군산시,샬롬에듀비타러닝센터학원,입시.검정 및 보습,200,전라북도 군산시 하나운로 18,65074
전라북도 군산시,샬롬음악학원,예능(대),110,전라북도 군산시 의료원로 80-8,65075
전라북도 군산시,샾음악학원,예능(대),110,전라북도 군산시 축동로 83,65076
전라북도 군산시,서강대학교SLP군산영어학원,국제화,125,전라북도 군산시 수송1길 5,65077
전라북도 군산시,서일영어학원,국제화,80,전라북도 군산시 수송로 285,65078
전라북도 군산시,성문당학원,입시.검정 및 보습,106,전라북도 군산시 진포로 242,65079
전라북도 군산시,세움학원,입시.검정 및 보습,140,전라북도 군산시 양안로 137,65080
전라북도 군산시,세풍학원,입시.검정 및 보습,135,전라북도 군산시 구암3.1로 219,65081
전라북도 군산시,셀파우등생교실수송학원,입시.검정 및 보습,110,전라북도 군산시 축동로 83,65082
전라북도 군산시,소나타피아노학원,예능(대),24,전라북도 군산시 나운로 61,65083
전라북도 군산시,소담미술학원,종합(대),20,전라북도 군산시 부골1길 47,65084
전라북도 군산시,소리사랑피아노학원,예능(대),74,전라북도 군산시 수송동로 100,65085
전라북도 군산시,소리샘피아노학원,예능(대),48,전라북도 군산시 대야면 석화로 19,65086
