,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,"28,000",2011,2017,와석순환로,00015,00000,41480,02,0,3206063,야당동,1031,0000,41480,10800,1,운정아모리움,11,7,41480-688,59.85,1031,41480,17,,,
117,,"49,700",2009,2017,미래로,00422,00000,41480,02,0,3012097,야당동,0981,0000,41480,10800,1,한라비발디 센트럴파크(981),11,7,41480-606,120.236,981,41480,10,,,
118,,"32,500",2011,2017,와석순환로,00015,00000,41480,02,0,3206063,야당동,1031,0000,41480,10800,1,운정아모리움,11,9,41480-688,84.98,1031,41480,17,,,
119,,"35,200",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,9,41480-745,84.1874,991,41480,1,,,
120,,"38,400",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,9,41480-745,84.1874,991,41480,16,,,
121,,"32,400",2004,2017,한빛로,00011,00000,41480,02,0,3206133,야당동,0975,0000,41480,10800,1,자유로아이파크(975-0),11,10,41480-84,120.336,975,41480,4,,,
122,,"32,000",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,10,41480-745,84.1874,991,41480,1,,,
123,,"45,000",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,10,41480-745,118.7267,991,41480,24,,,
124,,"38,000",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,10,41480-745,84.045,991,41480,23,,,
125,,"32,500",2009,2017,한빛로,00067,00000,41480,02,0,3206133,야당동,0982,0000,41480,10800,1,휴먼빌 레이크팰리스(982),11,11,41480-601,84.9666,982,41480,10,,,
126,,"45,100",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,11,41480-745,118.5592,991,41480,4,,,
127,,"39,000",2012,2017,한빛로,00070,00000,41480,02,0,3206133,야당동,0991,0000,41480,10800,1,한빛마을 5단지 캐슬앤칸타빌,11,11,41480-745,84.0669,991,41480,13,,,
128,,"34,400",2009,2017,한빛로,00067,00000,41480,02,0,3206133,야당동,0982,0000,41480,10800,1,휴먼빌 레이크팰리스(982),11,11,41480-601,84.9462,982,41480,26,,,
129,,"32,000",2004,2017,한빛로,00011,00000,41480,02,0,3206133,야당동,0975,0000,41480,10800,1,자유로아이파크(975-0),11,12,41480-84,84.992,975,41480,18,,,
